canton,source,url,title,type,depth,parent_url
BE,be_iv_canton,https://www.ivbe.ch/fr/situation/person_prive/employe.html,Je suis employé,page,2,https://www.ivbe.ch/de/situation/privatperson/angestellt.html
BE,be_iv_canton,https://www.ivbe.ch/fr/situation/person_prive/pas_activite_lucrative.html,Bern canton IV information,page,2,https://www.ivbe.ch/de/situation/privatperson/nichterwerbstaetig.html
BE,be_iv_canton,https://www.ivbe.ch/fr/situation/person_prive/independant.html,Je suis travailleur indépendant,page,2,https://www.ivbe.ch/de/situation/privatperson/selbstaendig.html
BE,be_iv_canton,https://www.ivbe.ch/fr/situation/person_prive/scolaris-_enformation.html,Bern canton IV information,page,2,https://www.ivbe.ch/de/situation/privatperson/schule_ausbildung.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:83d89273-787b-4155-898a-d955a050caca/IV_Flyer_ebA_082016_FR.pdf,Brochure Formation professionnelle initiale,pdf,3,https://www.ivbe.ch/fr/situation/person_prive/scolaris-_enformation.html
BE,be_iv_canton,https://www.ivbe.ch/fr/situation/person_prive/enfant_handicape.html,Bern canton IV information,page,2,https://www.ivbe.ch/de/situation/privatperson/kind-mit-Behinderung.html
BE,be_iv_canton,https://www.ivbe.ch/fr/situation/person_prive/moyens_auxiliaires.html,J’ai besoin de moyens auxiliaires,page,2,https://www.ivbe.ch/de/situation/privatperson/hilfsmittel.html
BE,be_iv_canton,https://www.ivbe.ch/fr/situation/person_prive/aide_quotidien.html,J’ai besoin d’aide au quotidien,page,2,https://www.ivbe.ch/de/situation/privatperson/unterstuetzung.html
BE,be_iv_canton,https://www.ivbe.ch/fr/situation/person_prive/rente_ai.html,Bern canton IV information,page,2,https://www.ivbe.ch/de/situation/privatperson/rentenbezueger.html
GE,ge_social_services,https://www.ocas.ch/en,Office cantonal des assurances sociales de Genève | Ocas,page,0,
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2020-07/Internet_plan_acces_OCAS_2020.pdf,Plan d'accès,pdf,1,https://www.ocas.ch/en
GE,ge_social_services,https://www.ocas.ch/en/node/5,À propos de l'OCAS | Ocas,page,1,https://www.ocas.ch/en
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2026-01/01_Organigramme_OCAS_26_janvier_2026.pdf,Organigramme OCAS - État au 26 janvier 2026,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2025-07/RAPPORT-ANNUEL-2024_interactif.pdf,Rapport annuel - 2024,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2024-07/RAPPORT%20ANNUEL%202023_interactif-web.pdf,Rapport annuel - 2023,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2023-07/rapport_annuel_2022_interactif_web.pdf,Rapport annuel - 2022,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2022-08/rapport_annuel_ocas_2021_interactif_web.pdf,Rapport annuel - 2021,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2021-07/Rapport_annuel_OCAS_2020_interactif_web_0.pdf,Rapport annuel - 2020,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2020-07/RAPPORT_ANNUEL_2019_vs_internet.pdf,Rapport annuel - 2019,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2020-06/OCAS_rapport_annuel_2018.pdf,Rapport annuel - 2018,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2020-06/OCAS_rapport_annuel_2017.pdf,Rapport annuel - 2017,pdf,2,https://www.ocas.ch/en/node/5
GE,ge_social_services,https://www.ocas.ch/sites/default/files/2020-06/OCAS_rapport_annuel_2016.pdf,Rapport annuel - 2016,pdf,2,https://www.ocas.ch/en/node/5
